TransactionID,Date,Time,FromAccount,ToAccount,Amount,Currency,Description,FlagReason
76819cbf-6b69-4184-92a7-ae45ef50eb27,2023-05-26,16:19:56,CA231718962,CA277847109,31202.44,CAD,Regular Transfer,Routine Check
e5d548e6-93e7-4894-8610-8047c5554d0e,2023-05-16,18:51:33,CA804502942,CA125288047,46952.1,CAD,Regular Transfer,Routine Check
b47a0e2a-8066-4660-ac40-d4458ee27a12,2023-04-22,14:50:36,CA451351986,CA804502942,6355.23,CAD,Regular Transfer,Routine Check
d5905b1b-7a1e-4d9c-8f45-1186b84d313c,2023-10-19,05:01:16,CA652590094,CA451351986,11289.83,CAD,Regular Transfer,Routine Check
a498a6f9-41f0-47dc-bee0-05bdd37ef770,2023-12-13,01:42:13,CA576991223,CA451351986,2390.4,CAD,Regular Transfer,Routine Check
4d477668-c64f-4484-973f-507f7b15b77d,2023-12-17,23:18:55,CA804502942,CA451351986,13791.49,CAD,Regular Transfer,Routine Check
008040b5-03a6-4940-a27b-0c664767414a,2023-07-23,09:36:23,CA354774800,CA652590094,32862.84,CAD,Regular Transfer,Routine Check
cda27abc-c536-4e99-b20d-907a5ad28c45,2023-02-18,12:41:55,CA804502942,CA466926887,12766.27,CAD,Business Operation Transfer,Rapid Large-Sum Transfer
fd7a209b-eb72-4bed-83c2-aeaecf2c3f13,2023-03-16,06:00:20,CA652590094,CA984237219,7359.58,CAD,Regular Transfer,Routine Check
88b73f1f-0441-4a36-ab40-19755f8673a2,2023-08-26,17:20:14,CA984237219,CA354774800,33879.74,CAD,Regular Transfer,Routine Check
eb7d0f3e-e8f1-4ab3-812e-52447aee74b8,2023-03-23,02:55:41,CA652590094,CA231718962,44931.02,CAD,Regular Transfer,Routine Check
1b6b5c41-bf8f-4663-8586-aa4037eb6f49,2023-11-26,18:25:18,CA652590094,CA231718962,33305.64,CAD,Regular Transfer,Routine Check
e95f5c4f-fdbd-4df4-b08c-4a6292d0c061,2023-08-03,07:32:13,CA125288047,CA652590094,29754.53,CAD,Regular Transfer,Routine Check
5efaadfa-61d9-474b-80cb-14427fd70ab9,2024-01-01,01:52:44,CA466926887,CA277847109,42907.67,CAD,Business Operation Transfer,Rapid Large-Sum Transfer
2b1f10ae-a2ec-4ead-89e7-853be9e1590e,2023-07-24,09:43:08,CA125288047,CA231718962,47690.48,CAD,Regular Transfer,Routine Check
2d82c7bf-ef5a-4110-9b70-9f26c871d9c3,2023-05-28,16:13:04,CA652590094,CA984237219,2745.73,CAD,Regular Transfer,Routine Check
48fe33b9-1e3a-49bd-8f8a-eef686630721,2023-06-16,12:42:42,CA231718962,CA984237219,9037.75,CAD,Regular Transfer,Routine Check
33ca7925-4779-4712-823f-472c853e7048,2023-12-29,09:29:49,CA277847109,CA466926887,9473.86,CAD,Business Operation Transfer,Rapid Large-Sum Transfer
35d9d25c-88f0-4dac-8f70-1bf33d9cf088,2023-09-09,18:00:52,CA466926887,CA277847109,14579.31,CAD,Business Operation Transfer,Rapid Large-Sum Transfer
f78f3f97-5716-45b9-bee0-c6d751427800,2024-01-21,14:12:02,CA231718962,CA354774800,1379.09,CAD,Regular Transfer,Routine Check
1cd2b66d-ac1f-40f7-a2ab-53bf0cce4a97,2023-11-23,09:13:41,CA804502942,CA277847109,11178.9,CAD,Regular Transfer,Routine Check
d140bec8-f45d-4a70-a5e6-a51d913402a0,2023-04-25,18:30:56,CA652590094,CA984237219,42595.98,CAD,Regular Transfer,Routine Check
556c759d-4369-4f26-a4b1-fa684c7a62fe,2023-03-25,16:37:05,CA277847109,CA652590094,12047.62,CAD,Regular Transfer,Routine Check
e1de5683-f6fe-434d-8e41-cf6e203c198c,2023-08-26,19:31:30,CA466926887,CA984237219,38130.86,CAD,Business Operation Transfer,Rapid Large-Sum Transfer
91c55c9b-7e53-42fd-8095-04b2fc9e5902,2024-01-07,18:12:46,CA804502942,CA466926887,38273.05,CAD,Business Operation Transfer,Rapid Large-Sum Transfer
13604c81-13c3-4eed-8eba-b7be5c144727,2023-05-19,03:45:59,CA125288047,CA652590094,8617.41,CAD,Regular Transfer,Routine Check
c06acf88-bccd-471b-970e-d8fae3335a1c,2023-10-18,19:11:10,CA451351986,CA231718962,7334.41,CAD,Regular Transfer,Routine Check
2231bf89-cc8e-418e-a677-f8db144662db,2024-01-17,17:18:20,CA466926887,CA576991223,37503.58,CAD,Business Operation Transfer,Rapid Large-Sum Transfer
9b74db2d-b5df-4d38-b30d-177e3c1f8cf2,2023-10-26,01:02:28,CA804502942,CA277847109,19652.21,CAD,Regular Transfer,Routine Check
c7f058e1-5e7b-4e81-868a-bdf711c71978,2023-09-11,05:44:04,CA984237219,CA451351986,22843.03,CAD,Regular Transfer,Routine Check
